City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,micheweni,-4.9667,39.8333,24.63,80,17,6.43,TZ,1689460297
152,carupano,10.6678,-63.2585,26.72,85,37,4.7,VE,1689460302
153,nova sintra,14.8667,-24.7167,22.62,79,73,1.86,CV,1689460044
154,queenstown,-31.8976,26.8753,9.86,51,38,3.32,ZA,1689460088
155,lata,40.1629,-8.3327,18.78,87,2,1.88,PT,1689460109
156,mossel bay,-34.1831,22.146,14.96,61,50,2.66,ZA,1689459845
157,klyuchi,52.2667,79.1667,21.29,38,36,6.35,RU,1689460074
158,horta,38.5333,-28.6333,19.45,94,100,0.89,PT,1689460016
159,kerikeri,-35.2268,173.9474,13.28,93,96,0.89,NZ,1689460090
160,zouerate,22.7187,-12.4521,34.66,16,1,10.26,MR,1689460304
161,perdoes,-21.0908,-45.0914,16.5,66,1,0.98,BR,1689460304
162,hawera,-39.5917,174.2833,14.57,85,100,8.51,NZ,1689460304
163,anta,25.15,76.3,26.32,86,100,2.22,IN,1689460304
164,san antonio de pale,-1.4014,5.6325,23.28,84,31,3.3,GQ,1689460107
165,hobyo,5.3505,48.5268,24.89,83,49,10.96,SO,1689460083
166,pokrovsk,48.282,37.1758,15.07,75,14,3.37,UA,1689460305
167,tazovsky,67.4667,78.7,5.5,82,76,4.55,RU,1689459861
168,minas de marcona,-15.2119,-75.1103,15.54,70,11,4.38,PE,1689459843
169,chilecito,-29.1619,-67.4974,9.39,49,0,3.76,AR,1689460068
170,crane,31.3974,-102.3501,39.46,16,30,8.67,US,1689460119
171,inderbor,48.55,51.7833,18.68,69,41,9.7,KZ,1689460306
172,asbe teferi,9.0833,40.8667,15.97,76,8,3.54,ET,1689460306
173,callao,-12.0667,-77.15,23.73,64,0,5.66,PE,1689460306
174,ola,59.5833,151.2833,14.95,74,41,2.54,RU,1689460307
175,georgetown,5.4112,100.3354,28.46,92,20,1.03,MY,1689459763
176,fomboni,-12.28,43.7425,25.54,62,0,6.38,KM,1689460307
177,port macquarie,-31.4333,152.9167,16.91,54,1,2.67,AU,1689460270
178,kuqa,41.7278,82.9364,29.54,22,1,1.5,CN,1689460307
179,port elizabeth,-33.918,25.5701,14.16,77,0,1.54,ZA,1689460072
180,maputo,-25.9653,32.5892,15.82,63,0,3.09,MZ,1689460308
181,malabar,-33.9667,151.25,15.44,82,75,2.57,AU,1689460087
182,nueva guinea,11.6876,-84.4562,24.44,95,100,4.51,NI,1689460066
183,takoradi,4.8845,-1.7554,25.02,89,16,4.27,GH,1689460191
184,hermanus,-34.4187,19.2345,16.0,76,88,4.89,ZA,1689460072
185,el calafate,-50.3408,-72.2768,-3.83,68,7,1.9,AR,1689460309
186,carnarvon,-24.8667,113.6333,13.12,41,0,6.02,AU,1689460309
187,padang,-0.9492,100.3543,24.78,81,100,1.43,ID,1689460309
188,chiredzi,-21.05,31.6667,14.49,60,3,0.99,ZW,1689459911
189,kittila,67.6647,24.8936,14.08,77,0,1.03,FI,1689460310
190,arti,56.4234,58.5328,12.31,93,99,1.92,RU,1689460310
191,semikarakorsk,47.5194,40.8112,17.08,73,20,3.5,RU,1689460310
192,andapa,-14.65,49.65,17.2,93,88,1.39,MG,1689460311
193,las lomitas,-24.7096,-60.593,15.8,47,98,1.79,AR,1689460311
194,whitehorse,60.7161,-135.0538,26.17,31,75,7.2,CA,1689460041
195,ismailia,30.6043,32.2723,24.73,72,0,1.5,EG,1689460283
196,newman,37.3138,-121.0208,41.19,8,0,2.88,US,1689460042
197,luwuk,-0.9516,122.7875,24.97,82,94,1.77,ID,1689460312
198,lorengau,-2.0226,147.2712,28.06,78,66,6.23,PG,1689459891
199,broken hill,-31.95,141.4333,7.42,82,4,7.78,AU,1689460274
200,piattoni-villa sant'antonio,42.8634,13.7168,27.9,78,0,2.38,IT,1689460312
201,kirakira,-10.4544,161.9205,26.26,85,100,3.67,SB,1689460312
202,kiunga,-6.1219,141.2906,21.81,96,100,0.78,PG,1689459857
203,vallenar,-28.5708,-70.7581,18.33,35,0,1.66,CL,1689460101
204,andkhoy,36.9529,65.1238,25.75,23,0,4.81,AF,1689460313
205,balabac,7.9868,117.0645,28.42,79,100,9.1,PH,1689460313
206,selkirk,50.1436,-96.8845,21.71,49,96,6.05,CA,1689460288
207,sitka,57.0531,-135.33,16.94,77,40,1.54,US,1689460050
208,mermoz boabab,14.7065,-17.4758,29.31,81,96,4.61,SN,1689460314
